game_id,agent1_points,agent2_points,first_player,point_differential
0,70,50,0,20
1,81,39,0,42
2,72,48,0,24
3,48,72,0,-24
4,62,58,0,4
5,67,53,0,14
6,48,72,0,-24
7,109,11,0,98
8,84,36,0,48
9,94,26,0,68
10,70,50,0,20
11,66,54,0,12
12,85,35,0,50
13,53,67,0,-14
14,82,38,0,44
15,87,33,0,54
16,85,35,0,50
17,72,48,0,24
18,98,22,0,76
19,46,74,0,-28
20,42,78,0,-36
21,69,51,0,18
22,78,42,0,36
23,76,44,0,32
24,78,42,0,36
25,66,54,0,12
26,54,66,0,-12
27,64,56,0,8
28,81,39,0,42
29,88,32,0,56
30,61,59,0,2
31,90,30,0,60
32,79,41,0,38
33,71,49,0,22
34,53,67,0,-14
35,97,23,0,74
36,62,58,0,4
37,111,9,0,102
38,73,47,0,26
39,69,51,0,18
40,96,24,0,72
41,105,15,0,90
42,75,45,0,30
43,74,46,0,28
44,90,30,0,60
45,95,25,0,70
46,96,24,0,72
47,52,68,0,-16
48,106,14,0,92
49,84,36,0,48
50,85,35,0,50
51,73,47,0,26
52,70,50,0,20
53,68,52,0,16
54,90,30,0,60
55,51,69,0,-18
56,77,43,0,34
57,73,47,0,26
58,66,54,0,12
59,66,54,0,12
60,57,63,0,-6
61,62,58,0,4
62,75,45,0,30
63,77,43,0,34
64,83,37,0,46
65,53,67,0,-14
66,65,55,0,10
67,68,52,0,16
68,80,40,0,40
69,68,52,0,16
70,80,40,0,40
71,104,16,0,88
72,66,54,0,12
73,61,59,0,2
74,67,53,0,14
75,83,37,0,46
76,62,58,0,4
77,76,44,0,32
78,85,35,0,50
79,65,55,0,10
80,87,33,0,54
81,81,39,0,42
82,34,86,0,-52
83,82,38,0,44
84,65,55,0,10
85,72,48,0,24
86,76,44,0,32
87,81,39,0,42
88,72,48,0,24
89,44,76,0,-32
90,82,38,0,44
91,79,41,0,38
92,83,37,0,46
93,67,53,0,14
94,95,25,0,70
95,101,19,0,82
96,106,14,0,92
97,76,44,0,32
98,101,19,0,82
99,89,31,0,58
100,89,31,0,58
101,71,49,0,22
102,96,24,0,72
103,69,51,0,18
104,93,27,0,66
105,85,35,0,50
106,56,64,0,-8
107,93,27,0,66
108,110,10,0,100
109,55,65,0,-10
110,75,45,0,30
111,47,73,0,-26
112,61,59,0,2
113,60,60,0,0
114,62,58,0,4
115,63,57,0,6
116,76,44,0,32
117,65,55,0,10
118,87,33,0,54
119,104,16,0,88
120,91,29,0,62
121,49,71,0,-22
122,56,64,0,-8
123,71,49,0,22
124,83,37,0,46
125,44,76,0,-32
126,53,67,0,-14
127,84,36,0,48
128,92,28,0,64
129,21,99,0,-78
130,64,56,0,8
131,71,49,0,22
132,62,58,0,4
133,97,23,0,74
134,52,68,0,-16
135,48,72,0,-24
136,91,29,0,62
137,64,56,0,8
138,55,65,0,-10
139,46,74,0,-28
140,69,51,0,18
141,83,37,0,46
142,19,101,0,-82
143,80,40,0,40
144,58,62,0,-4
145,69,51,0,18
146,91,29,0,62
147,74,46,0,28
148,98,22,0,76
149,41,79,0,-38
150,74,46,0,28
151,63,57,0,6
152,42,78,0,-36
153,47,73,0,-26
154,66,54,0,12
155,65,55,0,10
156,64,56,0,8
157,116,4,0,112
158,78,42,0,36
159,61,59,0,2
160,89,31,0,58
161,73,47,0,26
162,55,65,0,-10
163,23,97,0,-74
164,73,47,0,26
165,75,45,0,30
166,72,48,0,24
167,72,48,0,24
168,78,42,0,36
169,45,75,0,-30
170,94,26,0,68
171,92,28,0,64
172,81,39,0,42
173,63,57,0,6
174,68,52,0,16
175,58,62,0,-4
176,63,57,0,6
177,91,29,0,62
178,43,77,0,-34
179,92,28,0,64
180,72,48,0,24
181,70,50,0,20
182,86,34,0,52
183,46,74,0,-28
184,78,42,0,36
185,104,16,0,88
186,106,14,0,92
187,62,58,0,4
188,62,58,0,4
189,63,57,0,6
190,84,36,0,48
191,94,26,0,68
192,84,36,0,48
193,84,36,0,48
194,50,70,0,-20
195,93,27,0,66
196,79,41,0,38
197,57,63,0,-6
198,97,23,0,74
199,64,56,0,8
200,72,48,0,24
201,72,48,0,24
202,94,26,0,68
203,92,28,0,64
204,25,95,0,-70
205,74,46,0,28
206,91,29,0,62
207,42,78,0,-36
208,49,71,0,-22
209,44,76,0,-32
210,117,3,0,114
211,71,49,0,22
212,64,56,0,8
213,48,72,0,-24
214,77,43,0,34
215,52,68,0,-16
216,84,36,0,48
217,78,42,0,36
218,79,41,0,38
219,68,52,0,16
220,66,54,0,12
221,92,28,0,64
222,88,32,0,56
223,71,49,0,22
224,65,55,0,10
225,74,46,0,28
226,37,83,0,-46
227,57,63,0,-6
228,100,20,0,80
229,47,73,0,-26
230,53,67,0,-14
231,98,22,0,76
232,103,17,0,86
233,93,27,0,66
234,60,60,0,0
235,50,70,0,-20
236,91,29,0,62
237,86,34,0,52
238,49,71,0,-22
239,81,39,0,42
240,90,30,0,60
241,49,71,0,-22
242,78,42,0,36
243,94,26,0,68
244,98,22,0,76
245,40,80,0,-40
246,60,60,0,0
247,44,76,0,-32
248,110,10,0,100
249,61,59,0,2
250,73,47,0,26
251,95,25,0,70
252,109,11,0,98
253,58,62,0,-4
254,62,58,0,4
255,37,83,0,-46
256,48,72,0,-24
257,97,23,0,74
258,78,42,0,36
259,78,42,0,36
260,78,42,0,36
261,77,43,0,34
262,106,14,0,92
263,60,60,0,0
264,69,51,0,18
265,92,28,0,64
266,76,44,0,32
267,79,41,0,38
268,57,63,0,-6
269,52,68,0,-16
270,80,40,0,40
271,89,31,0,58
272,69,51,0,18
273,52,68,0,-16
274,37,83,0,-46
275,60,60,0,0
276,71,49,0,22
277,97,23,0,74
278,65,55,0,10
279,93,27,0,66
280,105,15,0,90
281,53,67,0,-14
282,112,8,0,104
