game_id,agent1_points,agent2_points,first_player,point_differential
0,43,77,1,-34
1,89,31,0,58
2,111,9,0,102
3,55,65,1,-10
4,72,48,0,24
5,96,24,0,72
6,79,41,1,38
7,79,41,1,38
8,90,30,0,60
9,102,18,0,84
10,87,33,1,54
11,96,24,0,72
12,113,7,0,106
13,103,17,0,86
14,27,93,0,-66
15,96,24,1,72
16,55,65,0,-10
17,93,27,1,66
18,76,44,1,32
19,102,18,1,84
20,73,47,1,26
21,115,5,0,110
22,96,24,1,72
23,93,27,1,66
24,92,28,1,64
25,84,36,0,48
26,111,9,0,102
27,92,28,0,64
28,73,47,1,26
29,88,32,0,56
30,97,23,0,74
31,57,63,1,-6
32,88,32,1,56
33,92,28,0,64
34,85,35,1,50
35,99,21,0,78
36,79,41,1,38
37,104,16,1,88
38,82,38,0,44
39,85,35,0,50
40,97,23,0,74
41,95,25,0,70
42,86,34,1,52
43,50,70,1,-20
44,90,30,0,60
45,105,15,0,90
46,66,54,0,12
47,101,19,1,82
48,101,19,0,82
49,112,8,0,104
50,113,7,0,106
51,83,37,0,46
52,60,60,1,0
53,72,48,0,24
54,67,53,0,14
55,53,67,1,-14
56,50,70,1,-20
57,78,42,1,36
58,91,29,1,62
59,94,26,1,68
60,90,30,1,60
61,93,27,1,66
62,89,31,1,58
63,101,19,0,82
64,90,30,1,60
65,68,52,0,16
66,53,67,1,-14
67,85,35,0,50
68,61,59,0,2
69,92,28,0,64
70,111,9,1,102
71,94,26,1,68
72,97,23,1,74
73,101,19,0,82
74,89,31,1,58
75,106,14,1,92
76,102,18,1,84
77,72,48,1,24
78,101,19,0,82
79,61,59,1,2
80,91,29,1,62
81,87,33,0,54
82,78,42,1,36
83,96,24,0,72
84,93,27,1,66
85,108,12,1,96
86,79,41,1,38
87,94,26,1,68
88,112,8,1,104
89,79,41,0,38
90,76,44,0,32
91,92,28,1,64
92,90,30,1,60
93,77,43,1,34
94,111,9,0,102
95,83,37,0,46
96,84,36,1,48
97,100,20,0,80
98,115,5,0,110
99,80,40,1,40
100,83,37,1,46
101,120,0,0,120
102,37,83,1,-46
103,96,24,0,72
104,102,18,1,84
105,91,29,1,62
106,69,51,1,18
107,74,46,1,28
108,95,25,0,70
109,95,25,0,70
110,82,38,1,44
111,69,51,0,18
112,84,36,0,48
113,110,10,1,100
114,99,21,0,78
115,108,12,1,96
116,93,27,1,66
117,96,24,0,72
118,120,0,0,120
119,80,40,0,40
120,87,33,1,54
121,107,13,0,94
122,95,25,0,70
123,78,42,0,36
124,105,15,1,90
125,120,0,0,120
126,97,23,0,74
127,87,33,0,54
128,89,31,1,58
129,89,31,1,58
130,110,10,0,100
131,81,39,0,42
132,116,4,1,112
133,104,16,0,88
134,104,16,0,88
135,82,38,0,44
136,98,22,0,76
137,74,46,0,28
138,63,57,1,6
139,34,86,0,-52
140,79,41,0,38
141,71,49,1,22
142,78,42,1,36
143,92,28,1,64
144,105,15,1,90
145,105,15,0,90
146,107,13,1,94
147,85,35,0,50
148,81,39,1,42
149,108,12,1,96
150,97,23,0,74
151,82,38,0,44
152,83,37,1,46
153,66,54,0,12
154,108,12,0,96
155,57,63,1,-6
156,107,13,1,94
157,89,31,1,58
158,89,31,0,58
159,82,38,1,44
160,118,2,1,116
161,71,49,0,22
162,76,44,0,32
163,110,10,0,100
164,101,19,1,82
165,92,28,0,64
166,82,38,0,44
167,65,55,0,10
168,99,21,1,78
169,104,16,1,88
170,109,11,1,98
171,83,37,1,46
172,82,38,1,44
173,68,52,0,16
174,89,31,1,58
175,102,18,0,84
176,55,65,1,-10
177,92,28,0,64
178,93,27,0,66
179,48,72,1,-24
180,91,29,1,62
181,86,34,0,52
182,32,88,0,-56
183,104,16,0,88
184,104,16,0,88
185,91,29,1,62
186,67,53,1,14
187,59,61,1,-2
188,82,38,1,44
189,80,40,1,40
190,88,32,0,56
191,100,20,1,80
192,89,31,1,58
193,100,20,0,80
194,114,6,0,108
195,106,14,0,92
196,64,56,1,8
197,104,16,0,88
198,85,35,0,50
199,92,28,1,64
200,109,11,1,98
201,112,8,0,104
202,103,17,0,86
203,106,14,1,92
204,99,21,0,78
205,59,61,1,-2
206,53,67,1,-14
207,74,46,0,28
208,105,15,1,90
209,89,31,0,58
210,70,50,1,20
211,114,6,0,108
212,69,51,0,18
213,71,49,1,22
214,83,37,0,46
215,73,47,0,26
216,81,39,0,42
217,95,25,0,70
218,89,31,1,58
219,76,44,1,32
220,95,25,0,70
221,54,66,1,-12
222,81,39,1,42
223,106,14,0,92
224,102,18,1,84
225,103,17,1,86
226,68,52,0,16
227,93,27,0,66
228,96,24,1,72
229,118,2,1,116
230,36,84,1,-48
231,98,22,0,76
232,104,16,0,88
233,102,18,0,84
234,117,3,1,114
235,99,21,1,78
236,91,29,1,62
237,98,22,1,76
238,74,46,0,28
239,88,32,0,56
240,66,54,1,12
241,66,54,1,12
242,74,46,1,28
243,112,8,1,104
244,77,43,0,34
245,91,29,0,62
246,83,37,0,46
247,66,54,0,12
248,105,15,0,90
249,89,31,0,58
250,62,58,1,4
251,71,49,1,22
252,92,28,0,64
253,78,42,0,36
254,77,43,0,34
255,110,10,0,100
256,93,27,1,66
257,77,43,0,34
258,108,12,1,96
259,78,42,0,36
260,71,49,1,22
261,109,11,0,98
262,91,29,1,62
263,70,50,0,20
264,87,33,1,54
265,75,45,0,30
266,74,46,0,28
267,96,24,0,72
268,110,10,1,100
269,86,34,1,52
270,82,38,0,44
271,86,34,0,52
272,51,69,1,-18
273,59,61,0,-2
274,116,4,1,112
275,120,0,1,120
276,90,30,0,60
277,88,32,0,56
278,102,18,0,84
279,60,60,0,0
280,88,32,1,56
281,61,59,0,2
282,90,30,0,60
283,47,73,1,-26
284,88,32,0,56
285,91,29,0,62
286,77,43,1,34
287,72,48,1,24
288,90,30,1,60
289,82,38,0,44
290,91,29,1,62
291,91,29,0,62
292,107,13,1,94
293,97,23,0,74
294,107,13,0,94
295,114,6,0,108
296,80,40,1,40
297,89,31,0,58
298,39,81,0,-42
299,102,18,0,84
300,62,58,1,4
301,109,11,0,98
302,76,44,1,32
303,72,48,1,24
304,88,32,1,56
305,86,34,0,52
306,80,40,0,40
307,64,56,1,8
308,78,42,0,36
309,112,8,0,104
310,56,64,0,-8
311,106,14,1,92
312,87,33,1,54
313,65,55,1,10
314,107,13,1,94
315,78,42,0,36
316,107,13,0,94
317,101,19,1,82
318,108,12,0,96
319,95,25,1,70
320,95,25,0,70
321,107,13,1,94
322,81,39,1,42
323,110,10,0,100
324,61,59,1,2
325,59,61,1,-2
326,106,14,1,92
327,120,0,0,120
328,103,17,0,86
329,71,49,0,22
330,71,49,1,22
331,100,20,0,80
332,105,15,1,90
333,94,26,1,68
334,87,33,0,54
335,105,15,0,90
336,106,14,0,92
337,77,43,0,34
338,100,20,1,80
339,106,14,1,92
340,46,74,1,-28
341,110,10,1,100
342,55,65,1,-10
343,85,35,0,50
344,111,9,1,102
345,107,13,0,94
346,81,39,1,42
347,78,42,1,36
348,79,41,1,38
349,84,36,0,48
350,103,17,1,86
351,106,14,1,92
352,67,53,1,14
353,92,28,1,64
354,69,51,1,18
355,74,46,1,28
356,96,24,0,72
357,62,58,1,4
358,74,46,1,28
359,92,28,0,64
360,80,40,0,40
361,101,19,0,82
362,80,40,0,40
