game_id,agent1_points,agent2_points,first_player,point_differential
0,35,85,1,-50
1,42,78,0,-36
2,27,93,0,-66
3,32,88,0,-56
4,18,102,0,-84
5,37,83,1,-46
6,41,79,1,-38
7,73,47,1,26
8,45,75,0,-30
9,13,107,0,-94
10,95,25,1,70
11,50,70,0,-20
12,75,45,1,30
13,42,78,1,-36
14,91,29,1,62
15,70,50,0,20
16,26,94,0,-68
17,18,102,0,-84
18,56,64,0,-8
19,45,75,1,-30
20,83,37,0,46
21,3,117,1,-114
22,53,67,0,-14
23,74,46,1,28
24,21,99,1,-78
25,29,91,1,-62
26,42,78,1,-36
27,61,59,1,2
28,26,94,0,-68
29,33,87,0,-54
30,17,103,0,-86
31,13,107,0,-94
32,62,58,1,4
33,49,71,0,-22
34,48,72,1,-24
35,16,104,0,-88
36,0,120,1,-120
37,53,67,0,-14
38,32,88,0,-56
39,43,77,1,-34
40,59,61,0,-2
41,55,65,1,-10
42,15,105,1,-90
43,45,75,0,-30
44,71,49,1,22
45,76,44,0,32
46,84,36,0,48
47,19,101,1,-82
48,51,69,1,-18
49,21,99,0,-78
50,42,78,0,-36
51,79,41,1,38
52,67,53,1,14
53,81,39,1,42
54,76,44,0,32
55,14,106,1,-92
56,33,87,1,-54
57,62,58,0,4
58,4,116,0,-112
59,39,81,1,-42
60,96,24,1,72
61,59,61,0,-2
62,37,83,1,-46
63,44,76,1,-32
64,28,92,1,-64
65,43,77,0,-34
66,34,86,1,-52
67,17,103,1,-86
68,56,64,0,-8
69,36,84,1,-48
70,71,49,0,22
71,48,72,1,-24
72,26,94,1,-68
73,34,86,0,-52
74,45,75,0,-30
75,50,70,1,-20
76,27,93,0,-66
77,59,61,1,-2
78,13,107,0,-94
79,68,52,1,16
80,74,46,1,28
81,2,118,0,-116
82,23,97,1,-74
83,12,108,0,-96
84,7,113,1,-106
85,65,55,0,10
86,21,99,1,-78
87,18,102,0,-84
88,59,61,0,-2
89,48,72,1,-24
90,40,80,0,-40
91,42,78,1,-36
92,35,85,0,-50
93,24,96,1,-72
94,64,56,1,8
95,40,80,0,-40
96,57,63,1,-6
97,40,80,0,-40
98,43,77,0,-34
99,30,90,1,-60
100,36,84,0,-48
101,33,87,0,-54
102,47,73,1,-26
103,70,50,0,20
104,57,63,1,-6
105,48,72,1,-24
106,0,120,0,-120
107,84,36,0,48
108,49,71,0,-22
109,34,86,0,-52
110,30,90,1,-60
111,89,31,0,58
112,22,98,0,-76
113,51,69,0,-18
114,38,82,1,-44
115,41,79,0,-38
116,12,108,1,-96
117,43,77,0,-34
118,49,71,1,-22
119,20,100,1,-80
120,51,69,0,-18
121,43,77,1,-34
122,49,71,1,-22
123,34,86,0,-52
124,58,62,0,-4
125,34,86,1,-52
126,49,71,1,-22
127,17,103,0,-86
128,17,103,0,-86
129,24,96,1,-72
130,46,74,1,-28
131,37,83,0,-46
132,45,75,0,-30
133,56,64,1,-8
134,48,72,0,-24
135,8,112,0,-104
136,18,102,1,-84
137,39,81,0,-42
138,17,103,0,-86
139,32,88,1,-56
140,44,76,0,-32
141,27,93,0,-66
142,27,93,1,-66
143,75,45,1,30
144,54,66,0,-12
145,13,107,1,-94
146,68,52,1,16
147,40,80,1,-40
148,53,67,1,-14
149,91,29,0,62
150,38,82,0,-44
151,28,92,0,-64
152,12,108,1,-96
153,76,44,0,32
154,46,74,0,-28
155,24,96,0,-72
156,69,51,1,18
157,46,74,1,-28
158,37,83,0,-46
159,54,66,0,-12
160,43,77,0,-34
161,22,98,0,-76
162,24,96,1,-72
163,73,47,0,26
164,32,88,0,-56
165,56,64,0,-8
166,25,95,0,-70
167,26,94,1,-68
168,16,104,0,-88
